date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:22:46	4717/4717	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index0b9a0b9a0b9ad3dcd3dc.html?w=atomic+wallet	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index0b9a0b9a0b9ad3dcd3dcd3dc.html	(from https://beta-altchains.org/home.html)
06:22:46	4741/4741	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index18541854185475007500.html?w=binance+smart+chain	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index185418541854750075007500.html	(from https://beta-altchains.org/home.html)
06:22:47	1492/1492	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/binance.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/binance.png	(from https://beta-altchains.org/home.html)
06:22:47	4679/4679	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index3664366436642e302e30.html?w=bnb	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index3664366436642e302e302e30.html	(from https://beta-altchains.org/home.html)
06:22:47	2600/2600	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/bnb.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/bnb.png	(from https://beta-altchains.org/home.html)
06:22:47	4699/4699	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index5a305a305a30afe0afe0.html?w=polkadot	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index5a305a305a30afe0afe0afe0.html	(from https://beta-altchains.org/home.html)
06:22:48	10853/10853	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/polkadot.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/polkadot.png	(from https://beta-altchains.org/home.html)
06:22:48	442212/442212	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/atomic.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/atomic.png	(from https://beta-altchains.org/home.html)
06:22:48	4679/4679	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index297929792979839d839d.html?w=xrp	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index297929792979839d839d839d.html	(from https://beta-altchains.org/home.html)
06:22:48	7004/7004	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/xrp.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/xrp.png	(from https://beta-altchains.org/home.html)
06:22:48	4693/4693	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexbd0fbd0fbd0f3cab3cab.html?w=stellar	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexbd0fbd0fbd0f3cab3cab3cab.html	(from https://beta-altchains.org/home.html)
06:22:49	3554/3554	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/stellar.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/stellar.png	(from https://beta-altchains.org/home.html)
06:22:49	4685/4685	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexdf8adf8adf8a792c792c.html?w=tezos	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexdf8adf8adf8a792c792c792c.html	(from https://beta-altchains.org/home.html)
06:22:49	6839/6839	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/tezos.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/tezos.png	(from https://beta-altchains.org/home.html)
06:22:49	4688/4688	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index7d1a7d1a7d1a73267326.html?w=theta	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index7d1a7d1a7d1a732673267326.html	(from https://beta-altchains.org/home.html)
06:22:50	33502/33502	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/theta.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/theta.png	(from https://beta-altchains.org/home.html)
06:22:50	4681/4681	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexcea2cea2cea287e187e1.html?w=tron	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexcea2cea2cea287e187e187e1.html	(from https://beta-altchains.org/home.html)
06:22:50	25773/25773	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/tron.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/tron.png	(from https://beta-altchains.org/home.html)
06:22:50	4689/4689	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexa71aa71aa71af669f669.html?w=cosmos	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexa71aa71aa71af669f669f669.html	(from https://beta-altchains.org/home.html)
06:22:50	5944/5944	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/cosmos.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/cosmos.png	(from https://beta-altchains.org/home.html)
06:22:51	4681/4681	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index0713071307137cee7cee.html?w=kava	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index0713071307137cee7cee7cee.html	(from https://beta-altchains.org/home.html)
06:22:51	3101/3101	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/kava.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/kava.png	(from https://beta-altchains.org/home.html)
06:22:51	4697/4697	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexcb21cb21cb218e368e36.html?w=filecoin	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexcb21cb21cb218e368e368e36.html	(from https://beta-altchains.org/home.html)
06:22:51	3775/3775	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/filecoin.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/filecoin.png	(from https://beta-altchains.org/home.html)
06:22:52	4689/4689	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexdf6adf6adf6abfb1bfb1.html?w=solana	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexdf6adf6adf6abfb1bfb1bfb1.html	(from https://beta-altchains.org/home.html)
06:22:52	4727/4727	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index7a807a807a8067246724.html?w=ethereum+classic	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index7a807a807a80672467246724.html	(from https://beta-altchains.org/home.html)
06:22:52	74376/74376	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/solana.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/solana.png	(from https://beta-altchains.org/home.html)
06:22:52	7932/7932	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/ethereum-classic.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/ethereum-classic.png	(from https://beta-altchains.org/home.html)
06:22:53	4691/4691	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index8af28af28af293a493a4.html?w=zilliqa	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index8af28af28af293a493a493a4.html	(from https://beta-altchains.org/home.html)
06:22:53	5808/5808	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/zilliqa.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/zilliqa.png	(from https://beta-altchains.org/home.html)
06:22:53	4691/4691	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index0712071207122c5a2c5a.html?w=elrond	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index0712071207122c5a2c5a2c5a.html	(from https://beta-altchains.org/home.html)
06:22:53	13844/13844	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/elrond.jpg	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/elrond.jpg	(from https://beta-altchains.org/home.html)
06:22:54	4685/4685	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexbd88bd88bd88ca96ca96.html?w=waves	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexbd88bd88bd88ca96ca96ca96.html	(from https://beta-altchains.org/home.html)
06:22:54	1075/1075	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/waves.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/waves.png	(from https://beta-altchains.org/home.html)
06:22:54	4681/4681	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index915e915e915e65956595.html?w=icon	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index915e915e915e659565956595.html	(from https://beta-altchains.org/home.html)
06:22:54	8579/8579	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/icon.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/icon.png	(from https://beta-altchains.org/home.html)
06:22:54	4697/4697	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index14d314d314d3457f457f.html?w=ontology	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index14d314d314d3457f457f457f.html	(from https://beta-altchains.org/home.html)
06:22:55	3190/3190	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/ontology.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/ontology.png	(from https://beta-altchains.org/home.html)
06:22:55	4713/4713	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index06200620062007c507c5.html?w=trust+vault	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index06200620062007c507c507c5.html	(from https://beta-altchains.org/home.html)
06:22:55	42038/42038	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/harmony.jpg	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/harmony.jpg	(from https://beta-altchains.org/home.html)
06:22:56	48575/48575	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/parsiq.jpg	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/parsiq.jpg	(from https://beta-altchains.org/home.html)
06:22:56	4681/4681	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index1e441e441e4410b210b2.html?w=nano	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index1e441e441e4410b210b210b2.html	(from https://beta-altchains.org/home.html)
06:22:56	8296/8296	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/nano.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/nano.png	(from https://beta-altchains.org/home.html)
06:22:56	4705/4705	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index41db41db41dbf54ff54f.html?w=tomo+chain	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index41db41db41dbf54ff54ff54f.html	(from https://beta-altchains.org/home.html)
06:22:59	1760/1760	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/tomo.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/tomo.png	(from https://beta-altchains.org/home.html)
06:23:00	4687/4687	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index250c250c250cab62ab62.html?w=iotex	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index250c250c250cab62ab62ab62.html	(from https://beta-altchains.org/home.html)
06:23:00	4697/4697	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index2d9f2d9f2d9f9af29af2.html?w=wanchain	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index2d9f2d9f2d9f9af29af29af2.html	(from https://beta-altchains.org/home.html)
06:23:00	3088/3088	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/wanchain.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/wanchain.png	(from https://beta-altchains.org/home.html)
06:23:01	42520/42520	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/iotex.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/iotex.png	(from https://beta-altchains.org/home.html)
06:23:01	4675/4675	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index830c830c830cf789f789.html?w=kin	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index830c830c830cf789f789f789.html	(from https://beta-altchains.org/home.html)
06:23:01	2844/2844	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/kin.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/kin.png	(from https://beta-altchains.org/home.html)
06:23:01	4685/4685	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index473e473e473e88938893.html?w=nimiq	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index473e473e473e889388938893.html	(from https://beta-altchains.org/home.html)
06:23:01	2835/2835	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/nimiq.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/nimiq.png	(from https://beta-altchains.org/home.html)
06:23:02	4681/4681	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index07710771077128a628a6.html?w=aion	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index07710771077128a628a628a6.html	(from https://beta-altchains.org/home.html)
06:23:02	24458/24458	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/aion.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/aion.png	(from https://beta-altchains.org/home.html)
06:23:02	4717/4717	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index5789578957899ba39ba3.html?w=thunder-token	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index5789578957899ba39ba39ba3.html	(from https://beta-altchains.org/home.html)
06:23:02	21019/21019	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/thundertoken.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/thundertoken.png	(from https://beta-altchains.org/home.html)
06:23:03	4705/4705	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index74d974d974d91a091a09.html?w=aerternity	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index74d974d974d91a091a091a09.html	(from https://beta-altchains.org/home.html)
06:23:03	7270/7270	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/aeternity.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/aeternity.png	(from https://beta-altchains.org/home.html)
06:23:03	4695/4695	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index16e716e716e7ba59ba59.html?w=nebulas	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index16e716e716e7ba59ba59ba59.html	(from https://beta-altchains.org/home.html)
06:23:03	3268/3268	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/nebulas.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/nebulas.png	(from https://beta-altchains.org/home.html)
06:23:04	4675/4675	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index99b299b299b2a28ca28c.html?w=fio	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index99b299b299b2a28ca28ca28c.html	(from https://beta-altchains.org/home.html)
06:23:04	7941/7941	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/fio.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/fio.png	(from https://beta-altchains.org/home.html)
06:23:04	4703/4703	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexeb25eb25eb2559105910.html?w=gochain	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexeb25eb25eb25591059105910.html	(from https://beta-altchains.org/home.html)
06:23:04	7857/7857	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/gochain.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/gochain.png	(from https://beta-altchains.org/home.html)
06:23:04	4709/4709	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index56385638563854e254e2.html?w=POA+network	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index56385638563854e254e254e2.html	(from https://beta-altchains.org/home.html)
06:23:05	13477/13477	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:46:00%20GMT	https://beta-altchains.org/assets/poa.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/poa.png	(from https://beta-altchains.org/home.html)
06:23:05	4697/4697	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/index0f790f790f797b197b19.html?w=callisto	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/index0f790f790f797b197b197b19.html	(from https://beta-altchains.org/home.html)
06:23:05	3069/3069	---M--	200	added ('OK')	image/png	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/callisto.png	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/callisto.png	(from https://beta-altchains.org/home.html)
06:23:05	4689/4689	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Oct%202021%2014:02:58%20GMT	https://beta-altchains.org/connect/indexad44ad44ad44be5bbe5b.html?w=bitpay	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/connect/indexad44ad44ad44be5bbe5bbe5b.html	(from https://beta-altchains.org/home.html)
06:23:06	10770/10770	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20May%202021%2023:45:58%20GMT	https://beta-altchains.org/assets/bitpay.jpg	C:/My%20Web%20Sites/beta-altchain.com/beta-altchains.org/assets/bitpay.jpg	(from https://beta-altchains.org/home.html)
